Habitaciones;Banos;Parqueaderos;Area_construida;Area_privada;Estrato;Estado;Anos;Administracion;Ascensor;Circuito_cerrado;Parqueadero_visitantes;Porteria;Zonas_verdes;Salon_comunal;Balcon;Barra_americana;Calentador;Chimenea;Citofono;Cocina_integral;Terraza;Vigilancia;Parques_cercanos;Estudio;Patio;Deposito;Tipo;Precio
2;1;0;41,86;38;3;Excelente;0;125000;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;195000000
2;1;0;41,86;38;3;Excelente;0;125000;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;195000000
1;1;0;39;34;3;Excelente;0;125000;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;Apartamento;220000000
3;2;2;84;80;3;Excelente;0;130000;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;1;Apartamento;374200000
3;2;1;84;80;3;Excelente;0;130000;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;339800000
3;2;1;84;80;3;Excelente;0;130000;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;339800000
2;1;0;41;37;4;No definida;0;130000;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;Apartamento;220000000
2;1;0;41;37;4;No definida;0;130000;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;Apartamento;220000000
1;1;0;31;31;4;Excelente;0;130000;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;230000000
1;1;0;31;31;4;Excelente;0;130000;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;230000000
1;1;0;31;31;4;Excelente;0;130000;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;230000000
2;1;0;38;33;3;No definida;0;133000;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Apartamento;195000000
2;1;0;38;33;3;No definida;0;133000;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Apartamento;195000000
1;1;0;31;31;4;No definida;0;139000;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;230000000
2;1;0;40;40;3;No definida;0;140000;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;199000000
1;1;0;31;31;3;No definida;0;142000;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;220000000
1;1;0;35;35;3;No definida;0;143000;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;210000000
1;1;0;35;35;3;No definida;0;143000;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;210000000
1;1;0;35;35;3;No definida;0;143000;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;210000000
2;1;0;40;37;4;No definida;0;145000;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Apartamento;225000000
3;2;1;74;74;3;No definida;0;150000;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;475000000
3;2;1;74;74;3;No definida;0;150000;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;475000000
2;1;1;37;37;4;Excelente;0;155000;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;Apartamento;250000000
2;2;1;65;0;4;Excelente;0;160000;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;435000000
2;2;0;41;41;4;No definida;0;170000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;253000000
2;1;0;38;0;4;Excelente;0;170000;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;Apartamento;190000000
1;1;0;28;0;3;Excelente;0;171800;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;Apartamento;159000000
2;1;1;41;0;3;Excelente;0;181300;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;Apartamento;199000000
2;1;1;41;0;3;Excelente;0;181300;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;Apartamento;199000000
